year,race,driver,predicted_position,probability,final_position,abs_error
2023,Saudi Arabian Grand Prix,DEV,14,35.62,11.0,3.0
2023,Saudi Arabian Grand Prix,GAS,9,28.89,8.0,1.0
2023,Saudi Arabian Grand Prix,HAM,5,43.66,5.0,0.0
2023,Saudi Arabian Grand Prix,HUL,12,22.93,12.0,0.0
2023,Saudi Arabian Grand Prix,LEC,7,46.64,5.0,2.0
2023,Saudi Arabian Grand Prix,MAG,10,16.07,10.0,0.0
2023,Saudi Arabian Grand Prix,NOR,9,12.63,15.0,6.0
2023,Saudi Arabian Grand Prix,OCO,8,24.55,6.0,2.0
2023,Saudi Arabian Grand Prix,PER,1,13.24,1.0,0.0
2023,Saudi Arabian Grand Prix,PIA,15,34.78,15.0,0.0
2023,Saudi Arabian Grand Prix,RUS,4,49.67,3.0,1.0
2023,Saudi Arabian Grand Prix,SAI,6,37.5,4.0,2.0
2023,Saudi Arabian Grand Prix,SAR,12,20.39,10.0,2.0
2023,Saudi Arabian Grand Prix,STR,12,39.95,4.0,8.0
2023,Saudi Arabian Grand Prix,TSU,11,25.62,6.0,5.0
2023,Saudi Arabian Grand Prix,VER,1,83.51,2.0,1.0
2023,Saudi Arabian Grand Prix,ZHO,14,19.38,10.0,4.0
2023,Singapore Grand Prix,ALB,15,30.26,10.0,5.0
2023,Singapore Grand Prix,ALO,16,42.27,6.0,10.0
2023,Singapore Grand Prix,BOT,15,43.03,10.0,5.0
2023,Singapore Grand Prix,GAS,6,42.74,6.0,0.0
2023,Singapore Grand Prix,HAM,3,58.92,3.0,0.0
2023,Singapore Grand Prix,HUL,12,16.23,9.0,3.0
2023,Singapore Grand Prix,LAW,9,31.71,8.0,1.0
2023,Singapore Grand Prix,LEC,1,19.43,2.0,1.0
2023,Singapore Grand Prix,MAG,15,36.55,8.0,7.0
2023,Singapore Grand Prix,NOR,7,23.67,2.0,5.0
2023,Singapore Grand Prix,OCO,6,42.3,6.0,0.0
2023,Singapore Grand Prix,PER,8,31.57,4.0,4.0
2023,Singapore Grand Prix,PIA,7,38.78,7.0,0.0
2023,Singapore Grand Prix,RUS,3,64.97,2.0,1.0
2023,Singapore Grand Prix,SAI,1,40.3,1.0,0.0
2023,Singapore Grand Prix,SAR,15,40.43,14.0,1.0
2023,Singapore Grand Prix,VER,1,73.55,2.0,1.0
2023,Singapore Grand Prix,ZHO,12,38.38,10.0,2.0
2023,Spanish Grand Prix,ALB,16,25.39,10.0,6.0
2023,Spanish Grand Prix,ALO,9,18.15,4.0,5.0
2023,Spanish Grand Prix,BOT,19,26.9,15.0,4.0
2023,Spanish Grand Prix,DEV,14,21.86,10.0,4.0
2023,Spanish Grand Prix,GAS,11,20.82,6.0,5.0
2023,Spanish Grand Prix,HAM,2,50.07,2.0,0.0
2023,Spanish Grand Prix,HUL,17,34.74,8.0,9.0
2023,Spanish Grand Prix,LEC,12,34.59,7.0,5.0
2023,Spanish Grand Prix,MAG,17,40.81,12.0,5.0
2023,Spanish Grand Prix,NOR,17,20.65,14.0,3.0
2023,Spanish Grand Prix,OCO,8,30.33,5.0,3.0
2023,Spanish Grand Prix,PER,4,15.91,2.0,2.0
2023,Spanish Grand Prix,PIA,13,18.4,6.0,7.0
2023,Spanish Grand Prix,RUS,3,52.87,2.0,1.0
2023,Spanish Grand Prix,SAI,5,46.03,2.0,3.0
2023,Spanish Grand Prix,SAR,16,14.29,12.0,4.0
2023,Spanish Grand Prix,STR,6,30.74,3.0,3.0
2023,Spanish Grand Prix,TSU,9,17.82,7.0,2.0
2023,Spanish Grand Prix,VER,1,93.51,1.0,0.0
2023,Spanish Grand Prix,ZHO,10,17.24,8.0,2.0
2023,São Paulo Grand Prix,ALO,6,23.81,3.0,3.0
2023,São Paulo Grand Prix,BOT,14,37.31,9.0,5.0
2023,São Paulo Grand Prix,GAS,5,17.01,5.0,0.0
2023,São Paulo Grand Prix,HAM,8,52.13,3.0,5.0
2023,São Paulo Grand Prix,HUL,12,24.3,9.0,3.0
2023,São Paulo Grand Prix,NOR,2,36.09,1.0,1.0
2023,São Paulo Grand Prix,OCO,10,45.97,8.0,2.0
2023,São Paulo Grand Prix,PER,3,12.03,3.0,0.0
2023,São Paulo Grand Prix,PIA,14,26.88,13.0,1.0
2023,São Paulo Grand Prix,RIC,13,29.59,13.0,0.0
2023,São Paulo Grand Prix,RUS,9,58.42,5.0,4.0
2023,São Paulo Grand Prix,SAI,4,37.9,3.0,1.0
2023,São Paulo Grand Prix,SAR,11,21.73,11.0,0.0
2023,São Paulo Grand Prix,STR,5,40.32,3.0,2.0
2023,São Paulo Grand Prix,TSU,13,19.59,5.0,8.0
2023,São Paulo Grand Prix,VER,1,93.04,1.0,0.0
2023,São Paulo Grand Prix,ZHO,14,49.25,12.0,2.0
2023,United States Grand Prix,ALB,11,23.67,11.0,0.0
2023,United States Grand Prix,ALO,9,52.83,7.0,2.0
2023,United States Grand Prix,BOT,15,24.04,12.0,3.0
2023,United States Grand Prix,GAS,8,35.53,5.0,3.0
2023,United States Grand Prix,HAM,2,45.38,1.0,1.0
2023,United States Grand Prix,HUL,13,24.83,12.0,1.0
2023,United States Grand Prix,LEC,6,42.69,1.0,5.0
2023,United States Grand Prix,MAG,16,28.44,13.0,3.0
2023,United States Grand Prix,NOR,3,37.64,1.0,2.0
2023,United States Grand Prix,OCO,7,57.31,7.0,0.0
2023,United States Grand Prix,PER,5,20.39,2.0,3.0
2023,United States Grand Prix,PIA,6,53.59,6.0,0.0
2023,United States Grand Prix,RIC,17,34.02,6.0,11.0
2023,United States Grand Prix,RUS,7,51.23,3.0,4.0
2023,United States Grand Prix,SAI,4,18.58,3.0,1.0
2023,United States Grand Prix,SAR,12,23.15,12.0,0.0
2023,United States Grand Prix,STR,9,42.18,8.0,1.0
2023,United States Grand Prix,TSU,12,19.17,8.0,4.0
2023,United States Grand Prix,VER,1,85.81,1.0,0.0
2023,United States Grand Prix,ZHO,15,32.54,11.0,4.0
