year,race,driver,fastest_lap,avg_lap,stints,pitstops,laps_completed,track_affinity,team_strength,momentum,final_position
2023,Hungarian Grand Prix,LEC,82.469,84.271046,3,0,70.0,0.1,0.85,0.16666663888889352,6
2023,Hungarian Grand Prix,SAI,82.584,84.331619,3,0,70.0,0.1,0.85,0.11111109876543349,8
2023,Hungarian Grand Prix,ALO,82.745,84.316887,3,0,70.0,0.1,0.8,0.21428566836735677,9
2023,Hungarian Grand Prix,STR,83.425,84.562448,3,0,69.0,0.1,0.8,0.09999999000000101,10
2023,Hungarian Grand Prix,ALB,84.051,84.864716,3,0,69.0,0.1,0.5,0.09999999000000101,11
2023,Hungarian Grand Prix,BOT,83.651,84.821457,3,0,69.0,0.1,0.4,0.09999999000000101,12
2023,Hungarian Grand Prix,RIC,83.934,84.647788,3,0,68.0,0.1,0.4,0.09999999000000101,13
2023,Hungarian Grand Prix,HUL,83.573,85.144166,3,0,69.0,0.1,0.5,0.09999999000000101,14
2023,Hungarian Grand Prix,TSU,83.269,85.120724,3,0,69.0,0.1,0.4,0.09999999000000101,15
2023,Hungarian Grand Prix,ZHO,83.743,85.092785,3,0,69.0,0.1,0.4,0.09999999000000101,16
2023,Hungarian Grand Prix,MAG,83.864,85.13639,3,0,69.0,0.1,0.5,0.09999999000000101,17
2023,Hungarian Grand Prix,SAR,83.496,84.956416,3,0,66.0,0.1,0.5,0.09999999000000101,15
2023,Belgian Grand Prix,VER,108.922,111.338861,3,0,44.0,0.1,0.5,0.599999640000216,1
2023,Belgian Grand Prix,PER,110.308,111.903837,3,0,44.0,0.1,0.5,0.09999999000000101,2
2023,Belgian Grand Prix,LEC,110.436,112.195945,3,0,44.0,0.1,0.85,0.16666663888889352,3
2023,Belgian Grand Prix,HAM,107.305,112.015764,4,0,44.0,0.1,0.9,0.2727271983471277,4
2023,Belgian Grand Prix,ALO,110.938,112.463888,3,0,44.0,0.1,0.8,0.21428566836735677,5
2023,Belgian Grand Prix,RUS,110.603,112.568636,2,0,44.0,0.1,0.9,0.29999991000002696,6
2023,Belgian Grand Prix,NOR,111.682,112.727794,3,0,44.0,0.1,0.75,0.09999999000000101,7
2023,Belgian Grand Prix,OCO,110.439,112.395733,3,0,44.0,0.1,0.7,0.09999999000000101,8
2023,Belgian Grand Prix,STR,111.297,112.771741,2,0,44.0,0.1,0.8,0.09999999000000101,9
2023,Belgian Grand Prix,TSU,111.394,112.878212,3,0,44.0,0.1,0.4,0.09999999000000101,10
2023,Belgian Grand Prix,GAS,110.911,112.853766,2,0,44.0,0.1,0.7,0.09999999000000101,11
2023,Belgian Grand Prix,BOT,110.515,112.718241,2,0,44.0,0.1,0.4,0.09999999000000101,12
2023,Belgian Grand Prix,ZHO,110.188,112.727259,3,0,44.0,0.1,0.4,0.09999999000000101,13
2023,Belgian Grand Prix,ALB,109.841,112.601928,4,0,44.0,0.1,0.5,0.09999999000000101,14
2023,Belgian Grand Prix,MAG,110.993,113.349967,3,0,44.0,0.1,0.5,0.09999999000000101,15
2023,Belgian Grand Prix,RIC,110.994,112.988322,3,0,44.0,0.1,0.4,0.09999999000000101,16
2023,Belgian Grand Prix,SAR,110.236,112.397347,4,0,44.0,0.1,0.5,0.09999999000000101,17
2023,Belgian Grand Prix,HUL,109.907,113.162692,3,0,41.0,0.1,0.5,0.09999999000000101,16
2023,Belgian Grand Prix,SAI,113.138,113.999,2,0,10.0,0.1,0.85,0.11111109876543349,17
2023,Dutch Grand Prix,VER,73.889,75.406097,2,0,60.0,0.1,0.5,0.599999640000216,1
2023,Dutch Grand Prix,GAS,74.441,75.818564,2,0,59.0,0.1,0.7,0.09999999000000101,5
2023,Dutch Grand Prix,PER,74.231,75.6251,2,0,60.0,0.1,0.5,0.09999999000000101,2
2023,Dutch Grand Prix,ALO,73.837,75.668243,2,0,60.0,0.1,0.8,0.21428566836735677,3
2023,Dutch Grand Prix,LEC,77.277,77.81435,1,0,40.0,0.1,0.85,0.16666663888889352,16
2023,Dutch Grand Prix,STR,75.171,76.58735,3,0,59.0,0.1,0.8,0.09999999000000101,14
2023,Dutch Grand Prix,SAR,77.399,77.970333,1,0,14.0,0.1,0.5,0.09999999000000101,20
2023,Dutch Grand Prix,MAG,75.489,76.9192,2,0,59.0,0.1,0.5,0.09999999000000101,16
2023,Dutch Grand Prix,TSU,76.253,76.98325,1,0,59.0,0.1,0.4,0.09999999000000101,12
2023,Dutch Grand Prix,ALB,74.468,76.121095,2,0,60.0,0.1,0.5,0.09999999000000101,6
2023,Dutch Grand Prix,ZHO,75.417,76.680025,2,0,59.0,0.1,0.4,0.09999999000000101,13
2023,Dutch Grand Prix,HUL,74.472,76.683487,3,0,59.0,0.1,0.5,0.09999999000000101,15
2023,Dutch Grand Prix,OCO,74.57,76.196975,2,0,60.0,0.1,0.7,0.09999999000000101,7
2023,Dutch Grand Prix,NOR,74.39,76.129871,2,0,59.0,0.1,0.75,0.09999999000000101,10
2023,Dutch Grand Prix,LAW,74.82,77.027871,3,0,58.0,0.1,0.4,0.09999999000000101,18
2023,Dutch Grand Prix,HAM,73.904,76.123525,2,0,59.0,0.1,0.9,0.2727271983471277,7
2023,Dutch Grand Prix,SAI,74.934,75.980425,2,0,59.0,0.1,0.85,0.11111109876543349,4
